source_index,annotator,test_row_id,referent,EN_source_sentence,EN_masculine_sentence,EN_feminine_sentence,rating,decision,judge_decision,eval_strategy_label
30,annotator_1,26.0,attendant,I was a flight attendant for 30 years and spent 3 decades of my life staying in various hotels in 60 countries worldwide.,I was a flight steward for 30 years and spent 3 decades of my life staying in various hotels in 60 countries worldwide.,I was a flight stewardess for 30 years and spent 3 decades of my life staying in various hotels in 60 countries worldwide.,good,accept,accept,referent_swap
31,annotator_1,27.0,veteran,West Ham is among the clubs that are aggressively persuading the veteran to join them.,"West Ham is among the clubs that are aggressively persuading the veteran to join them, as he weighs his options.","West Ham is among the clubs that are aggressively persuading the veteran to join them, as she weighs her options.",good,accept,accept,pronoun_insertion
32,annotator_1,28.0,judge,"You be the judge, Our lines are open.","You be the judge, sir, Our lines are open.","You be the judge, ma'am, Our lines are open.",good,accept,accept,sir_maam
33,annotator_1,,chief,"Now would be an excellent time... for you to be very, very quiet... chief.","Now would be an excellent time... for you to be very, very quiet... chief, sir.","Now would be an excellent time... for you to be very, very quiet... chief, ma'am.",bad,reject,accept,sir_maam
34,annotator_1,29.0,expert,It is important that you show you are an expert in the niche area you have developed your product or service in.,"It is important that you show you are an expert, sir, in the niche area you have developed your product or service in.","It is important that you show you are an expert, ma'am, in the niche area you have developed your product or service in.",good,accept,accept,sir_maam
35,annotator_1,30.0,partner,"I just want you to know, I really like your partner.","I just want you to know, I really like your boyfriend.","I just want you to know, I really like your girlfriend.",good,accept,accept,referent_swap
36,annotator_1,31.0,virgin,"I don' t care if you' re a virgin, all right?","I don' t care if you' re a virgin, sir, all right?","I don' t care if you' re a virgin, ma' am, all right?",good,accept,accept,sir_maam
37,annotator_1,32.0,colleague,"Export to PDF, as is done by my colleague, may be a solution for some, but this also loses some of the advantages of the ebook format, like the ability to copy sections of text.","Export to PDF, as is done by my colleague, Mr. Smith, may be a solution for some, but this also loses some of the advantages of the ebook format, like the ability to copy sections of text.","Export to PDF, as is done by my colleague, Mrs. Smith, may be a solution for some, but this also loses some of the advantages of the ebook format, like the ability to copy sections of text.",good,accept,accept,title_insertion
38,annotator_1,33.0,minister,Who ever said I wanted to be a minister?!...,Who ever said he wanted to be a minister?!...,Who ever said she wanted to be a minister?!...,good,accept,accept,pronoun_swap
39,annotator_1,34.0,nanny,My previous experience working as a nanny for children on the Autism Spectrum has given me a unique insight to the different challenges that families face at home and I feel the ability to help them even more.,His previous experience working as a nanny for children on the Autism Spectrum has given him a unique insight to the different challenges that families face at home and he feels the ability to help them even more.,Her previous experience working as a nanny for children on the Autism Spectrum has given her a unique insight to the different challenges that families face at home and she feels the ability to help them even more.,good,accept,accept,pronoun_swap
40,annotator_1,35.0,assistant,"Well, I am an executive assistant...... at a major pet products company.","Well, he is an executive assistant...... at a major pet products company.","Well, she is an executive assistant...... at a major pet products company.",good,accept,accept,pronoun_swap
41,annotator_1,,neighbor,It should be no labor to be nice to your neighbor.,"It should be no labor to be nice to your neighbor, Mr. Garcia.","It should be no labor to be nice to your neighbor, Mrs. Garcia.",bad,reject,accept,title_insertion
42,annotator_1,36.0,follower,"Whether you've been a Christ follower all of your life or have never read a word of the Bible before and are just checking out the Christian faith, you are welcome here.","Whether you've been a Christ follower all of your life or have never read a word of the Bible before and are just checking out the Christian faith, sir, you are welcome here.","Whether you've been a Christ follower all of your life or have never read a word of the Bible before and are just checking out the Christian faith, ma'am, you are welcome here.",good,accept,accept,sir_maam
43,annotator_1,37.0,boss,"I would be the boss, if I bring back the Freeman.","He would be the boss, if he brings back the Freeman.","She would be the boss, if she brings back the Freeman.",good,accept,accept,pronoun_swap
44,annotator_1,38.0,warrior,By order of His Majesty we have brought the mighty warrior.,"By order of His Majesty we have brought the mighty warrior, a man of great valor.","By order of His Majesty we have brought the mighty warrior, a woman of great valor.",good,accept,accept,context_modifier
45,annotator_1,39.0,clerk,You' re truly the friendliest clerk I ever met.,"You' re truly the friendliest clerk I ever met, sir.","You' re truly the friendliest clerk I ever met, ma'am.",good,accept,accept,sir_maam
46,annotator_1,40.0,officer,Is that the officer that is to take charge of the prisoner?,Is that the officer that is to take charge of the prisoner? — he was pointed out,Is that the officer that is to take charge of the prisoner? — she was pointed out,meh,accept,accept,pronoun_insertion
47,annotator_1,41.0,patient,They may be from a patient I' m not sure,They may be from a male patient I' m not sure,They may be from a female patient I' m not sure,good,accept,accept,adjective
48,annotator_1,42.0,occupant,The driver and lone occupant of the vehicle was not injured.,"The driver and lone occupant of the vehicle, a man, was not injured.","The driver and lone occupant of the vehicle, a woman, was not injured.",good,accept,accept,context_modifier
49,annotator_1,43.0,pilot,"Emergency services launched a search for the pilot and passenger of the plane at about 7.30pm last night (Wednesday), after it crashed one mile short of its runway at Beverley Airfield.","Emergency services launched a search for the pilot, Mr. Smith, and passenger of the plane at about 7.30pm last night (Wednesday), after it crashed one mile short of its runway at Beverley Airfield.","Emergency services launched a search for the pilot, Mrs. Smith, and passenger of the plane at about 7.30pm last night (Wednesday), after it crashed one mile short of its runway at Beverley Airfield.",good,accept,accept,title_insertion
50,annotator_1,,architect,"If you have a problem with the plants, I can always caII my Iandscape architect.","If you have a problem with the plants, I can always caII my Iandscape architect, my nephew.","If you have a problem with the plants, I can always caII my Iandscape architect, my niece.",bad,reject,accept,relational_insertion
51,annotator_1,44.0,nomad,"Living your dream as a digital nomad can be a life-changing experience, just as long as you put in the hard work and effort to reach the goal of traveling to new places and making a living from something you love doing.","Living your dream as a digital nomad can be a life-changing experience, sir, just as long as you put in the hard work and effort to reach the goal of traveling to new places and making a living from something you love doing.","Living your dream as a digital nomad can be a life-changing experience, ma'am, just as long as you put in the hard work and effort to reach the goal of traveling to new places and making a living from something you love doing.",good,accept,accept,sir_maam
52,annotator_1,45.0,beautician,"If you love curly hair, but are not naturally blessed with those luscious curls, all you can do is take help of your beautician, right?","If you love curly hair, but are not naturally blessed with those luscious curls, all you can do is take help of your male beautician, right?","If you love curly hair, but are not naturally blessed with those luscious curls, all you can do is take help of your female beautician, right?",good,accept,accept,adjective
53,annotator_1,46.0,driver,"Speaking of which, I told the limo driver to pick you two up at the hotel at noon.","Speaking of which, I told the limo driver to pick you two up at the hotel at noon — he'll be there sharp.","Speaking of which, I told the limo driver to pick you two up at the hotel at noon — she'll be there sharp.",good,accept,accept,pronoun_insertion
54,annotator_1,47.0,superior,"Thankfully, my superior did not realize my incompetence in the language and throw me back to my desk, and I was able to translate the email into something that actually made sense.","Thankfully, my superior, Mr. Garcia, did not realize my incompetence in the language and throw me back to my desk, and I was able to translate the email into something that actually made sense.","Thankfully, my superior, Mrs. Garcia, did not realize my incompetence in the language and throw me back to my desk, and I was able to translate the email into something that actually made sense.",good,accept,accept,title_insertion
55,annotator_1,48.0,member,I' m a respected member of the community.,He's a respected member of the community.,She's a respected member of the community.,good,accept,accept,pronoun_swap
56,annotator_1,49.0,adventurer,"Back to dry land, the adventurer launched flares on the Alliance defences, aiding the sighting of the naval guns.","Back to dry land, the adventurer, Mr. Patel, launched flares on the Alliance defences, aiding the sighting of the naval guns.","Back to dry land, the adventurer, Mrs. Patel, launched flares on the Alliance defences, aiding the sighting of the naval guns.",good,accept,accept,title_insertion
57,annotator_1,50.0,firefighter,"Back in my prior life, I was an Arlington firefighter.","Back in my prior life, I was an Arlington fireman.","Back in my prior life, I was an Arlington firewoman.",good,accept,accept,referent_swap
58,annotator_1,,detective,"Try listen, detective, that robot is not going to harm us.","Try listen, detective, sir, that robot is not going to harm us.","Try listen, detective, ma'am, that robot is not going to harm us.",bad,reject,accept,sir_maam
59,annotator_1,51.0,fighter,"While the Japanese fighter flew off, Bill and a major from his barrack sped over to Pearl Harbor to help their fellow servicemen fight back.","While the male Japanese fighter flew off, Bill and a major from his barrack sped over to Pearl Harbor to help their fellow servicemen fight back.","While the female Japanese fighter flew off, Bill and a major from his barrack sped over to Pearl Harbor to help their fellow servicemen fight back.",good,accept,accept,adjective
60,annotator_1,,nurse,"Health Always seek medical advice from your doctor or travel nurse before you travel and make sure your vaccinations are up-to-date, especially when travelling to Asia.","Health Always seek medical advice from your doctor or travel nurse, Mr. Martinez, before you travel and make sure your vaccinations are up-to-date, especially when travelling to Asia.","Health Always seek medical advice from your doctor or travel nurse, Mrs. Martinez, before you travel and make sure your vaccinations are up-to-date, especially when travelling to Asia.",bad,reject,accept,title_insertion
61,annotator_1,,employee,"And I realised that, as dire chance and fateful cockup would have it, here I am, mid- fifties, and without knowing it, I' ve spent most of my adult life with a chubby employee.","And I realised that, as dire chance and fateful cockup would have it, here I am, mid- fifties, and without knowing it, I' ve spent most of my adult life with a chubby employee, my brother.","And I realised that, as dire chance and fateful cockup would have it, here I am, mid- fifties, and without knowing it, I' ve spent most of my adult life with a chubby employee, my sister.",bad,reject,accept,relational_insertion
62,annotator_1,52.0,blogger,"Well, as a new blogger, I’m surprised and admittedly sometimes overwhelmed by how much there is to learn and do to get a blog started.","Well, as a new blogger, he's surprised and admittedly sometimes overwhelmed by how much there is to learn and do to get a blog started.","Well, as a new blogger, she's surprised and admittedly sometimes overwhelmed by how much there is to learn and do to get a blog started.",good,accept,accept,pronoun_swap
63,annotator_1,53.0,coordinator,"The bright, bubbly cruise director and activities coordinator just can’t say “no” when it comes to ensuring passenger satisfaction during Opium, an adults-only show at The Cosmopolitan of Las Vegas.","The bright, bubbly cruise director and activities coordinator, Mr. Chen, just can't say ""no"" when it comes to ensuring passenger satisfaction during Opium, an adults-only show at The Cosmopolitan of Las Vegas.","The bright, bubbly cruise director and activities coordinator, Mrs. Chen, just can't say ""no"" when it comes to ensuring passenger satisfaction during Opium, an adults-only show at The Cosmopolitan of Las Vegas.",good,accept,accept,title_insertion
64,annotator_1,54.0,terrorist,And I am the greatest terrorist ever to have rived.,And he is the greatest terrorist ever to have rived.,And she is the greatest terrorist ever to have rived.,good,accept,accept,pronoun_swap
65,annotator_1,55.0,assistant,And I would like to be your assistant very much...,And he would like to be your assistant very much...,And she would like to be your assistant very much...,good,accept,accept,pronoun_swap
66,annotator_1,56.0,adult,"But then, such a thought is little different from wanting your parents to protect and care for you as a young adult the first time you make a mistake.","But then, such a thought is little different from wanting his parents to protect and care for him as a young adult the first time he makes a mistake.","But then, such a thought is little different from wanting her parents to protect and care for her as a young adult the first time she makes a mistake.",good,accept,accept,pronoun_swap
67,annotator_1,57.0,photographer,"I worked closely with an editor, photographer, illustrator, and several subject experts to conceptualize and develop the components of this book.","I worked closely with an editor, photographer, illustrator, and several subject experts — he was the photographer — to conceptualize and develop the components of this book.","I worked closely with an editor, photographer, illustrator, and several subject experts — she was the photographer — to conceptualize and develop the components of this book.",meh,accept,accept,pronoun_insertion
68,annotator_1,,nurse,"If you are commencing therapy on Powder for injection, you should speak to your doctor or MS nurse as to how to gradually increase your dose.","If you are commencing therapy on Powder for injection, you should speak to your doctor or MS nurse, Mr. Patel, as to how to gradually increase your dose.","If you are commencing therapy on Powder for injection, you should speak to your doctor or MS nurse, Mrs. Patel, as to how to gradually increase your dose.",bad,reject,accept,title_insertion
69,annotator_1,,buddy,"We' re not out of the woods yet, buddy.","We' re not out of the woods yet, buddy, sir.","We' re not out of the woods yet, buddy, ma'am.",bad,reject,accept,sir_maam
70,annotator_1,58.0,vegetarian,"I was a vegetarian for two decades, so I have been on some other food-related paths.","He was a vegetarian for two decades, so he has been on some other food-related paths.","She was a vegetarian for two decades, so she has been on some other food-related paths.",good,accept,accept,pronoun_swap
71,annotator_1,59.0,lover,I' m not a fighter I' m a lover,He' s not a fighter he' s a lover,She' s not a fighter she' s a lover,good,accept,accept,pronoun_swap
72,annotator_1,60.0,chief,"Yeah, well, chief thinks that with the tower flooded, it gives the boat enough weight to stay down while we blow some air into the main tank.","Yeah, well, the chief, Mr. Garcia, thinks that with the tower flooded, it gives the boat enough weight to stay down while we blow some air into the main tank.","Yeah, well, the chief, Mrs. Garcia, thinks that with the tower flooded, it gives the boat enough weight to stay down while we blow some air into the main tank.",good,accept,accept,title_insertion
73,annotator_1,61.0,amateur,"I get nervous anyway -- but to be opposite her and not want her to think, 'Who is this amateur?'""","I get nervous anyway -- but to be opposite her and not want her to think, 'Who is this male amateur?'""","I get nervous anyway -- but to be opposite her and not want her to think, 'Who is this female amateur?'""",good,accept,accept,adjective
74,annotator_1,62.0,enemy,You have heard it said...... you shall love your neighbor and hate your enemy.,You have heard it said...... you shall love your neighbor and hate your male enemy.,You have heard it said...... you shall love your neighbor and hate your female enemy.,good,accept,accept,adjective
75,annotator_1,63.0,coach,They got that confidence and determination from their head coach.,"They got that confidence and determination from him, their head coach.","They got that confidence and determination from her, their head coach.",good,accept,accept,pronoun_insertion
76,annotator_1,64.0,researcher,One researcher estimated that an infant exclusively fed soy formula receives the estrogenic equivalent (based on body weight) of at least five birth control pills per day.,"One researcher, Mr. Fitzgerald, estimated that an infant exclusively fed soy formula receives the estrogenic equivalent (based on body weight) of at least five birth control pills per day.","One researcher, Mrs. Fitzgerald, estimated that an infant exclusively fed soy formula receives the estrogenic equivalent (based on body weight) of at least five birth control pills per day.",good,accept,accept,title_insertion
77,annotator_1,65.0,assistant,"I was working for a large Hollywood-oriented film production company as an assistant, and not only did I hate the job, I was depressed I wasn’t making my own films.","He was working for a large Hollywood-oriented film production company as an assistant, and not only did he hate the job, he was depressed he wasn't making his own films.","She was working for a large Hollywood-oriented film production company as an assistant, and not only did she hate the job, she was depressed she wasn't making her own films.",good,accept,accept,pronoun_swap
78,annotator_1,66.0,assistant,I' m a shop- assistant in a boutique.,He' s a shop- assistant in a boutique.,She' s a shop- assistant in a boutique.,good,accept,accept,pronoun_swap
79,annotator_1,67.0,model,"Well, also, as a model, I have to watch my figure.","Well, also, as a model, he has to watch his figure.","Well, also, as a model, she has to watch her figure.",good,accept,accept,pronoun_swap
80,annotator_1,68.0,director,"I could call the director, who happens to be a close, personal friend.","I could call the director, who happens to be a close, personal friend of mine — he'd understand.","I could call the director, who happens to be a close, personal friend of mine — she'd understand.",good,accept,accept,pronoun_insertion
81,annotator_1,69.0,judge,"Thankfully, the judge at Gillespie’s criminal trial saw that the police were not being truthful and found Gillespie not guilty.","Thankfully, the judge, Mr. Thompson, at Gillespie's criminal trial saw that the police were not being truthful and found Gillespie not guilty.","Thankfully, the judge, Mrs. Thompson, at Gillespie's criminal trial saw that the police were not being truthful and found Gillespie not guilty.",good,accept,accept,title_insertion
82,annotator_1,70.0,designer,"It' s, like, a totally important designer.","It' s, like, a totally important designer, Mr. Nguyen.","It' s, like, a totally important designer, Mrs. Nguyen.",meh,accept,accept,title_insertion
83,annotator_1,,opponent,The object of the game is to outscore your opponent.,"The object of the game is to outscore your opponent, sir.","The object of the game is to outscore your opponent, ma'am.",bad,reject,accept,sir_maam
84,annotator_1,,student,"I pray thee, do not mock me, fellow student.","I pray thee, do not mock me, fellow student, sir.","I pray thee, do not mock me, fellow student, ma'am.",bad,reject,accept,sir_maam
85,annotator_1,71.0,teacher,I think you' il make an excellent teacher.,"I think you' il make an excellent teacher, sir.","I think you' il make an excellent teacher, ma'am.",good,accept,accept,sir_maam
86,annotator_1,72.0,clerk,"After the visit, the clerk of the current development situation of the company, and the improvement of equipment technology, sales case are described in detail.","After the visit, the clerk, Mr. Davis, of the current development situation of the company, and the improvement of equipment technology, sales case are described in detail.","After the visit, the clerk, Mrs. Davis, of the current development situation of the company, and the improvement of equipment technology, sales case are described in detail.",good,accept,reject,title_insertion
87,annotator_1,73.0,coach,I' m a coach that knows about winning.,He's a coach that knows about winning.,She's a coach that knows about winning.,good,accept,accept,pronoun_swap
88,annotator_1,74.0,pilot,"As a more junior pilot, the 16 days on thing doesn't really bother me at all.","As a more junior pilot, the 16 days on thing doesn't really bother him at all.","As a more junior pilot, the 16 days on thing doesn't really bother her at all.",good,accept,accept,pronoun_swap
89,annotator_1,75.0,minister,The minister was briefed about the progress of voting and exchanged cordial talks with a number of voters in various polling stations.,The minister was briefed about the progress of voting and he exchanged cordial talks with a number of voters in various polling stations.,The minister was briefed about the progress of voting and she exchanged cordial talks with a number of voters in various polling stations.,good,accept,accept,pronoun_insertion
90,annotator_1,76.0,doctor,The prison doctor confirmed... suicide after an overdose of tranquillizers.,The prison doctor confirmed in his report... suicide after an overdose of tranquillizers.,The prison doctor confirmed in her report... suicide after an overdose of tranquillizers.,good,accept,accept,pronoun_insertion
91,annotator_1,77.0,secretary,"What the secretary had found was an ancient book, the book of law.","What the secretary had found was an ancient book, the book of law, and he brought it to the council.","What the secretary had found was an ancient book, the book of law, and she brought it to the council.",meh,accept,accept,pronoun_insertion
92,annotator_1,78.0,client,Your client orders the products on your webpage/online shop or simply by phone or directly in your butcher shop.,"Your client orders the products on your webpage/online shop or simply by phone or directly in your butcher shop, and he expects prompt service.","Your client orders the products on your webpage/online shop or simply by phone or directly in your butcher shop, and she expects prompt service.",meh,accept,accept,pronoun_insertion
93,annotator_1,79.0,inhabitant,"The premise behind the piece is that, two hundred years ago, the town of Kulyenchikov was laid under a curse by a disgruntled inhabitant.","The premise behind the piece is that, two hundred years ago, the town of Kulyenchikov was laid under a curse by a disgruntled inhabitant, a man.","The premise behind the piece is that, two hundred years ago, the town of Kulyenchikov was laid under a curse by a disgruntled inhabitant, a woman.",good,accept,accept,context_modifier
94,annotator_1,80.0,worker,I had supervised visits with a social worker watching.,"I had supervised visits with a social worker watching, and he took notes the whole time.","I had supervised visits with a social worker watching, and she took notes the whole time.",meh,accept,accept,pronoun_insertion
95,annotator_1,81.0,companion,"Each card anniversary, you will receive a free Companion Fare that allows your traveling companion to fly at a sharply reduced rate.","Each card anniversary, you will receive a free Companion Fare that allows your traveling companion, your nephew, to fly at a sharply reduced rate.","Each card anniversary, you will receive a free Companion Fare that allows your traveling companion, your niece, to fly at a sharply reduced rate.",good,accept,accept,relational_insertion
96,annotator_1,82.0,supervisor,"On the other hand, my supervisor of area is to arrange an excuse to order me for … the ""manuseamento of archives"" e I do not belong to this.","On the other hand, my supervisor of area, Mr. Garcia, is to arrange an excuse to order me for … the ""manuseamento of archives"" e I do not belong to this.","On the other hand, my supervisor of area, Mrs. Garcia, is to arrange an excuse to order me for … the ""manuseamento of archives"" e I do not belong to this.",good,accept,reject,unknown
97,annotator_1,83.0,specialist,"Our district has an Emergency Operations Plan, we are part of the Anderson County Hazard Mitigation Plan, and we have hired a school safety specialist.","Our district has an Emergency Operations Plan, we are part of the Anderson County Hazard Mitigation Plan, and we have hired a school safety specialist, Mr. Smith.","Our district has an Emergency Operations Plan, we are part of the Anderson County Hazard Mitigation Plan, and we have hired a school safety specialist, Mrs. Smith.",good,accept,accept,title_insertion
98,annotator_1,84.0,dietitian,I am a dietitian and I would not pay the money for the salads that are served in McDonalds.,He is a dietitian and he would not pay the money for the salads that are served in McDonalds.,She is a dietitian and she would not pay the money for the salads that are served in McDonalds.,good,accept,accept,pronoun_swap
99,annotator_1,85.0,attendant,Sally Weston represents an ideal of poise and beauty and accomplishment that every flight attendant should strive to achieve.,Sally Weston represents an ideal of poise and beauty and accomplishment that every flight steward should strive to achieve.,Sally Weston represents an ideal of poise and beauty and accomplishment that every flight stewardess should strive to achieve.,good,accept,accept,referent_swap
100,annotator_1,86.0,minister,It has just been announced over the air by the prime minister...... that our country is at war.,It has just been announced over the air by the prime minister...... that his country is at war.,It has just been announced over the air by the prime minister...... that her country is at war.,good,accept,accept,pronoun_insertion
